Valid Remaining Qty,SO Created Date,Material,Old material number,Name,Item category group,Overall CreditStatus,Sales document,Sales Document Item,Schedule line number,Production scheduler,Remaining Quantity,Unrestricted On-hand Qty,Remaining Net Value,ATP Confirm Date,Requested (First) Date,MRP Controller (Materials Planner),Kanban Armature,Field Shima Shell,Magnet Shima Shell,Casting,Casting 2,RYG,Comments,Customer Expedite/late delivery explanation
+,3/1/2021,30189617,5371-169-032,P3 INDUSTRIAL,NORM,A,2149427,10,2,681,1,null,1381.45,3/30/2021,3/3/2021,ID4,110-0333,None,None,None,None,R,"WO# 11259260 1 PC
Need 5371-631-013 wo# 11296602 10pc @ 635/633",4/7 Kitted short 5371-631-013
+,3/4/2021,30179181,5300-178-001,APPLIED INDUSTRIAL TECH,NORM,A,2151773,20,2,685,2,null,145.8,3/11/2021,3/4/2021,ID3,null,null,null,null,null,"P
R",Need 257-0032-/-257-0031 PO 500 PCS Due 3/29  ON HOLD due to plastic shortage /alternate,null
+,2/17/2021,30189389,5370-273-099,WEIMER BRG & TRANS INC,NORM,A,2143696,10,1,681,1,null,1055.21,3/4/2021,3/4/2021,IDG,110-0331,None,None,None,None,"K
WD",Kanban @ paint due 4/26,"3/11 Teams
3/18 kitted; short 5370-451-076
4/6 5370-800-019 to stock; opened order for 5370-451-076
4/9 5370-451-076 to stock"
+,3/3/2021,30189494,5370-631-003,RUMSEY ELECTRIC CO,NORM,D,2151253,40,2,633,1,null,178.86,3/17/2021,3/4/2021,IDG,None,None,None,None,None,K,Kanban @ 635,null
+,3/4/2021,30179181,5300-178-001,MOTION INDUSTRIES INC,NORM,A,2151897,40,2,685,3,null,208.41,3/11/2021,3/5/2021,ID3,null,null,null,null,null,"P
R",Need 257-0032-/-257-0031 PO 500 PCS Due 3/29  ON HOLD due to plastic shortage /alternate,null
+,3/4/2021,30179258,5369-631-011,EASTERN INDUSTRIAL AUTOMATION,NORM,A,2152245,10,2,633,1,null,416.26,4/1/2021,3/5/2021,ID3,null,null,null,null,null,Y,WO# 11288154 10 PCS @ 635/633/687/braze/634/606/633,null
+,3/4/2021,30189289,5370-169-225,MOTION INDUSTRIES INC,NORM,A,2152101,10,2,681,1,null,477.44,4/1/2021,3/5/2021,ID4,110-0331,None,"800-0375
5370-631-204",258-1225,None,Y,WO# 11264786 1 PC,null
+,3/4/2021,30189323,5370-169-289,MOTION INDUSTRIES INC,NORM,A,2152053,10,2,681,1,null,631.07,3/11/2021,3/5/2021,IDG,110-0332,None,None,258-1226,None,K,Kanban @ 681,null
+,2/24/2021,30189423,5370-273-244,MOTION INDUSTRIES INC,NORM,A,2147361,10,2,681,1,null,1062.61,3/10/2021,3/5/2021,ID4,None,None,None,None,None,Y,WO# 11254337 1 PC,"4/1 Teams
4/15 Kitted short 5370-631-234"
+,2/26/2021,30189620,5371-169-037,BESSER CO,NORM,A,2148836,10,2,681,1,null,1254.35,4/19/2021,3/5/2021,ID4,110-0333,None,None,None,None,Y,"WO# 11254338 1 PC
Need 6014-448-001 Due 4/12 (4/21)","4/9 Order pulled short, need 5371-631-012; 6014-448-001 due 4/12"
+,2/1/2021,30189780,5380-170-021,SIGNODE PARTS & SERVICE,NORM,A,2135299,10,2,682,1,null,372.95,3/15/2021,3/5/2021,ID3,null,null,null,null,null,R,"WO# 11265193 1 PC @ 682 (pulled with Dervis)
Need 540-0519 wo# 11265194 40 PCS @ 683/606",null
+,3/5/2021,30179181,5300-178-001,TOTAL MACHINE SOLUTIONS,NORM,A,2152760,10,2,685,6,null,526.98,3/12/2021,3/8/2021,ID3,null,null,null,null,null,"P
R",Need 257-0032-/-257-0031 PO 500 PCS Due 3/29  ON HOLD due to plastic shortage /alternate,null
+,1/26/2021,30188034,5103-9,HAYSSEN PACKAGING TECHNOLOGIES,NORM,A,2132135,10,2,684,10,null,3578.8,3/9/2021,3/8/2021,ID3,null,null,null,null,null,R,Need 5103-541-031-/-5103-540-003 wo# 11300277 20 PCS @ 634/683,null
+,1/25/2021,30188511,5200-06,SIGNODE PARTS & SERVICE,NORM,A,2131230,10,1,682,26,null,6279,3/8/2021,3/8/2021,ID3,null,null,null,null,null,R,Need 5200-452-114 -/-5200-751-047 wo# 11296290 50 PCS @ 202/300,null
+,3/8/2021,30189323,5370-169-289,APPLIED INDUSTRIAL TECH,NORM,D,2153767,10,2,681,1,null,631.07,3/15/2021,3/9/2021,IDG,110-0332,None,None,258-1226,None,K,Kanban @ 681,null
+,2/26/2021,30179181,5300-178-001,WARNER ELECTRIC EUROPE,NORM,A,2148933,30,1,685,10,null,192.5,3/10/2021,3/10/2021,ID3,null,null,null,null,null,"P
R",Need 257-0032-/-257-0031 PO 500 PCS Due 3/29  ON HOLD due to plastic shortage /alternate,4/13 Teams
+,3/9/2021,30179181,5300-178-001,MOTION INDUSTRIES INC,NORM,A,2154511,10,2,685,1,null,69.47,3/16/2021,3/10/2021,ID3,null,null,null,null,null,"P
R",Need 257-0032-/-257-0031 PO 500 PCS Due 3/29  ON HOLD due to plastic shortage /alternate,3/24 Teams
+,3/3/2021,30179182,5300-541-001,WARNER ELECTRIC EUROPE,NORM,A,2150946,70,2,683,4,null,514.36,3/17/2021,3/10/2021,ID3,null,null,null,null,null,Y,WO# 11241156 20 PCS @ 683/634,null
+,3/9/2021,30189299,5370-169-248,ISC COMPANIES,NORM,A,2154384,10,2,681,2,null,1183.34,4/7/2021,3/10/2021,ID4,110-0331,None,None,258-1226,None,Y,WO# 11269985 3 PCS,null
+,3/9/2021,30189299,5370-169-248,ISC COMPANIES,NORM,A,2154460,10,2,681,1,null,591.67,4/7/2021,3/10/2021,ID4,110-0331,None,None,258-1226,None,Y,WO# 11269985 3 PCS,"4/14 Team
4/15 Order given to Karen to pull"
+,3/9/2021,30189872,5391-170-009,APPLIED INDUSTRIAL TECH,NORM,A,2154269,10,2,682,1,null,981.83,3/12/2021,3/10/2021,ID3,null,null,null,null,null,Y,WO# 11247053 5 PCS @ 682,null
+,3/10/2021,30192153,798-0050,MOTION INDUSTRIES INC,NORM,A,2154808,20,2,686,1,null,157.19,3/24/2021,3/10/2021,IDG,None,None,None,None,None,K,Kanban @ 686,null
+,3/10/2021,30188022,5103-751-016,APPLIED INDUSTRIAL TECH,NORM,A,2155090,20,2,855,1,null,174.17,3/24/2021,3/11/2021,ID3,null,null,null,null,null,Y,WO# 11256423 40 PCS @ 855/300/BO/300,null
+,3/11/2021,30179017,5103-101-003,BDI,NORM,A,2155603,13,2,600,1,1,5.28,3/25/2021,3/12/2021,ID3,null,null,null,null,null,G,"Not pulled, need line 14",null
+,3/11/2021,30179026,5103-452-021,BDI,NORM,A,2155603,14,2,682,1,null,332.88,3/25/2021,3/12/2021,ID3,null,null,null,null,null,R,Need 5103-751-016 wo# 11256423 40 PCS 855/300/BO/300,3/24: Parts previously in stock shipped against another order on 3/23. 5103-751-016 added as shortage
+,3/11/2021,30179067,5124-111-001,BDI,NORM,A,2155603,11,2,475,1,1,78.95,3/25/2021,3/12/2021,ID3,null,null,null,null,null,G,"Not pulled, need line 14",null
+,3/11/2021,30179070,5124-541-005,BDI,NORM,A,2155603,12,2,634,1,1,95.47,3/25/2021,3/12/2021,ID3,null,null,null,null,null,G,"Not pulled, need line 14",null
+,3/11/2021,30179181,5300-178-001,MOTION INDUSTRIES INC,NORM,A,2155731,70,2,685,3,null,208.41,3/18/2021,3/12/2021,ID3,null,null,null,null,null,"P
R",Need 257-0032-/-257-0031 PO 500 PCS Due 3/29  ON HOLD due to plastic shortage /alternate,null
+,3/11/2021,30189323,5370-169-289,MOTION INDUSTRIES INC,NORM,A,2155731,80,2,681,3,null,1893.21,3/18/2021,3/12/2021,IDG,110-0332,None,None,258-1226,None,K,Kanban @ 681,null
+,3/12/2021,30189323,5370-169-289,MOTION INDUSTRIES INC,NORM,A,2156574,10,2,681,1,null,631.07,3/19/2021,3/12/2021,IDG,110-0332,None,None,258-1226,None,K,Kanban @ 681,null
+,3/12/2021,30189390,5370-273-101,MOTION INDUSTRIES INC,NORM,A,2156387,10,2,681,1,null,1055.21,2/27/2025,3/12/2021,ID4,110-0331,None,None,None,None,Y,WO# 11273517 1 PC,"4/7: Order given to Karen to pull
4/9 Order pulled short, need 798-0263; 456-1014"
+,3/11/2021,30189642,5371-170-048,EASTERN INDUSTRIAL AUTOMATION,NORM,A,2156008,10,2,681,1,null,1375.94,2/26/2025,3/12/2021,ID4,None,None,None,None,None,R,"WO# 11271720 1 PC
Need 5154-170-004 wo# 11271721 1 PC",3/24: 5154-445-003 -  Disks to arrive 3/25; need to broach and send to GL.  Anticipated completed parts 4/19
+,3/11/2021,30066713,5304-631-010,MOTION INDUSTRIES INC,NORM,A,2156139,16,2,null,1,1,934.78,4/5/2021,3/13/2021,ID9,null,null,null,null,null,G,"Not pulled, need line 14/15",4/5 Teams
+,3/11/2021,30178960,180-0295,MOTION INDUSTRIES INC,NORM,A,2156139,11,2,null,1,1,112.88,4/5/2021,3/13/2021,ID9,null,null,null,null,null,G,"Not pulled, need line 14/15",4/5 Teams
+,3/11/2021,30179105,5201-101-008,MOTION INDUSTRIES INC,NORM,A,2156139,13,2,600,4,4,82.44,4/5/2021,3/13/2021,ID3,null,null,null,null,null,G,"Not pulled, need line 14/15",4/5 Teams
+,3/11/2021,30179181,5300-178-001,MOTION INDUSTRIES INC,NORM,A,2156139,14,2,685,1,null,96.26,4/5/2021,3/13/2021,ID3,null,null,null,null,null,"P
R",Need 257-0032-/-257-0031 PO 500 PCS Due 3/29  ON HOLD due to plastic shortage /alternate,4/5 Teams
+,3/11/2021,30179218,5304-111-004,MOTION INDUSTRIES INC,NORM,A,2156139,12,2,634,1,null,399.99,4/5/2021,3/13/2021,ID3,null,null,null,null,null,Y,WO# 11301844 20 PCS @ 634,4/5 Teams
-,3/25/2021,30179328,748-0005,APPLIED INDUSTRIAL TECH,NORM,A,2163643,15,2,null,1,1,13.42,4/12/2021,3/26/2021,ID9,null,null,null,null,null,G,Complete 4/16,4/15 Teams
+,3/11/2021,30179220,5304-541-001,MOTION INDUSTRIES INC,NORM,A,2156139,15,2,683,1,null,627.83,4/5/2021,3/13/2021,ID3,null,null,null,null,null,R,Need 5301-749-001 wo# 11205890 40 PCS @ Herker due 4/19,4/5 Teams
+,3/11/2021,30179229,5321-101-001,MOTION INDUSTRIES INC,NORM,A,2156139,17,2,600,2,2,28.92,4/5/2021,3/13/2021,ID3,null,null,null,null,null,G,"Not pulled, need line 14/15",4/5 Teams
+,3/12/2021,30178811,180-0124,AUTOMATEDPT,NORM,A,2156823,11,2,null,1,1,44.93,2/27/2025,3/15/2021,ID9,null,null,null,null,null,G,"Not pulled, need line 14/15",null
+,3/12/2021,30179013,5102-101-001,AUTOMATEDPT,NORM,A,2156823,16,2,600,2,2,13.16,2/27/2025,3/15/2021,ID3,null,null,null,null,null,G,"Not pulled, need line 14/15",null
+,3/12/2021,30179077,5200-101-010,AUTOMATEDPT,NORM,A,2156823,20,2,600,1,1,41.04,2/27/2025,3/15/2021,ID3,null,null,null,null,null,G,"Not pulled, need line 14/15",null
+,3/12/2021,30179162,5230-111-002,AUTOMATEDPT,NORM,A,2156823,18,2,634,2,2,297.26,2/27/2025,3/15/2021,ID3,null,null,null,null,null,G,"Not pulled, need line 14/15",null
+,3/12/2021,30179179,5300-101-008,AUTOMATEDPT,NORM,A,2156823,17,2,600,1,1,10.3,2/27/2025,3/15/2021,ID3,null,null,null,null,null,G,"Not pulled, need line 14/15",null
+,3/12/2021,30179181,5300-178-001,AUTOMATEDPT,NORM,A,2156823,15,2,685,1,null,96.26,2/27/2025,3/15/2021,ID3,null,null,null,null,null,"P
R",Need 257-0032-/-257-0031 PO 500 PCS Due 3/29  ON HOLD due to plastic shortage /alternate,null
+,3/12/2021,30179182,5300-541-001,AUTOMATEDPT,NORM,A,2156823,14,2,683,1,null,276.57,2/27/2025,3/15/2021,ID3,null,null,null,null,null,Y,WO# 11241156 20 PCS @ 683/634,null
+,3/12/2021,30179187,5300-541-009,AUTOMATEDPT,NORM,A,2156823,19,2,685,1,1,262.71,2/27/2025,3/15/2021,ID3,null,null,null,null,null,G,"Not pulled, need line 14/15",null
+,3/12/2021,30179192,5300-631-005,AUTOMATEDPT,NORM,A,2156823,12,2,633,1,1,303.14,2/27/2025,3/15/2021,ID3,null,null,null,null,null,G,"Not pulled, need line 14/15",null
+,3/12/2021,30179195,5300-631-011,AUTOMATEDPT,NORM,A,2156823,13,2,633,1,1,331.27,2/27/2025,3/15/2021,ID3,null,null,null,null,null,G,"Not pulled, need line 14/15",null
+,2/25/2021,30179325,5623-111-008,MECTROL DO BRASIL COMERCIAL LT,NORM,A,2148008,10,1,634,6,null,441.72,3/15/2021,3/15/2021,ID3,null,null,null,null,null,Y,WO# 11256412 6 PCS @ 634,null
+,3/12/2021,30188229,5154-170-002,APPLIED INDUSTRIAL TECH,NORM,A,2156842,10,2,170,6,null,3279.78,3/19/2021,3/15/2021,ID4,null,null,null,null,null,P,Need 5154-445-003   250 due 4/19(75-4/16)    sent to greate lakes 3/31,3/24: 5154-445-003 -  Disks to arrive 3/25; need to broach and send to GL.  Anticipated completed parts 4/19
+,3/1/2021,30188280,5158-35,THOMSON LINEAR LLC,NORM,D,2149589,10,2,170,20,null,1440,2/14/2025,3/15/2021,ID4,null,null,null,null,null,R,Need 5158-170-019 -/-5158-445-004  @ GL due 4/23,null
+,3/8/2021,30188584,5201-451-003,GORDON INDUSTRIAL SUPPLY CO,NORM,A,2153668,40,2,633,10,10,2799.2,4/16/2021,3/15/2021,ID3,null,null,null,null,null,G,Shipper printed 4/16,3/29 Teams
+,2/9/2021,30189339,5370-170-207,BDI,NORM,A,2139751,10,1,681,2,2,1086.72,3/15/2021,3/15/2021,ID4,None,None,None,None,None,G,null,"4/1 Teams
4/7: Order given to Karen to pull
4/8: Order complete, sending through line to build.
4/15 Need 798-0288 Shaft"
+,3/12/2021,30189421,5370-273-238,MOTION INDUSTRIES INC,NORM,A,2156746,10,2,681,1,null,1148.25,3/26/2021,3/15/2021,ID4,110-0332,None,"800-0376
5370-631-219",258-1223,258-1225,Y,"WO# 11273532 1 PC
Need 5370-751-052 wo# 11314079 10 PCS @ 300",null
+,3/12/2021,30189492,5370-536-202,KAMAN INDUSTRIAL TECH,NORM,A,2156470,10,2,681,1,null,444.86,3/26/2021,3/15/2021,ID4,110-0332,None,None,258-1226,None,Y,WO# 11273533 1 PC,null
+,2/26/2021,30179017,5103-101-003,ALTRA INDUSTRIAL MOTION TAIWAN,NORM,A,2148717,23,1,600,23,23,74.29,3/16/2021,3/16/2021,ID3,null,null,null,null,null,G,"Not pulled, need line 22/24",null
+,2/26/2021,30179026,5103-452-021,ALTRA INDUSTRIAL MOTION TAIWAN,NORM,A,2148717,24,1,682,23,null,4680.73,3/16/2021,3/16/2021,ID3,null,null,null,null,null,R,Need 5103-751-016 wo# 11256423 40 PCS 855/300/BO/300,null
