0,1,2,3,4,5,6,7,8,9,10
657daf20122fa666071aa554,00000000--1123140131 - 5370-273-214,Pass ,Pass ,393,393,Pass ,Pass ,Pass ,Pass ,50,
657daf20122fa666071aa555,00000000--1123140132 - 5370-273-214,Pass ,Pass ,393,396,Pass ,Pass ,Pass ,Pass ,50,
657daf20122fa666071aa556,00000000--1123140133 - 5370-273-214,Pass ,Pass ,393,397,Pass ,Pass ,Pass ,Pass ,50,
657daf20122fa666071aa557,00000000--1123140134 - 5370-273-214,Pass ,Pass ,393,393,Pass ,Pass ,Pass ,Pass ,55,
657daf20122fa666071aa558,00000000--1123140135 - 5370-273-214,Pass ,Pass ,388,388,Pass ,Pass ,Pass ,Pass ,50,
657daf20122fa666071aa559,00000000--1123140136 - 5370-273-214,Pass ,Pass ,392,390,Pass ,Pass ,Pass ,Pass ,50,
657daf20122fa666071aa55a,00000000--1123140137 - 5370-273-214,Pass ,Pass ,389,390,Pass ,Pass ,Pass ,Pass ,65,
657daf20122fa666071aa55b,00000000--1123140138 - 5370-273-214,Pass ,Pass ,398,390,Pass ,Pass ,Pass ,Pass ,55,
657daf20122fa666071aa55c,00000000--1123140139 - 5370-273-214,Pass ,Pass ,388,390,Pass ,Pass ,Pass ,Pass ,60,
657daf20122fa666071aa55d,00000000--1123140140 - 5370-273-214,Pass ,Pass ,388,388,Pass ,Pass ,Pass ,Pass ,65,
657daf20122fa666071aa55e,00000000--1123140141 - 5370-273-214,Pass ,Pass ,390,388,Pass ,Pass ,Pass ,Pass ,60,
657daf20122fa666071aa55f,00000000--1123140142 - 5370-273-214,Pass ,Pass ,388,388,Pass ,Pass ,Pass ,Pass ,55,
657daf20122fa666071aa560,00000000--1123140143 - 5370-273-214,Pass ,Pass ,391,389,Pass ,Pass ,Pass ,Pass ,55,
657daf20122fa666071aa561,00000000--1123140144 - 5370-273-214,Pass ,Pass ,389,391,Pass ,Pass ,Pass ,Pass ,60,
657daf20122fa666071aa562,00000000--1123140145 - 5370-273-214,Pass ,Pass ,393,393,Pass ,Pass ,Pass ,Pass ,55,
657daf20122fa666071aa563,00000000--1123150017 - 5370-273-214,Pass ,Pass ,391,391,Pass ,Pass ,Pass ,Pass ,60,
657daf20122fa666071aa564,00000000--1123150018 - 5370-273-214,Pass ,Pass ,null,null,Pass ,Pass ,Pass ,Pass ,50,
657daf20122fa666071aa565,00000000--1123150019 - 5370-273-204,Pass ,Pass ,461,435,Pass ,Pass ,Pass ,Pass ,60,
657daf20122fa666071aa566,00000000--1123150020 - 5370-273-204,Pass ,Pass ,461,435,Pass ,Pass ,Pass ,Pass ,48,
657daf20122fa666071aa567,00000000--1123150021 - 5370-273-204,Pass ,Pass ,459,434,Pass ,Pass ,Pass ,Pass ,40,
657daf20122fa666071aa568,00000000--1123150022 - 5370-273-204,Pass ,Pass ,458,436,Pass ,Pass ,Pass ,Pass ,40,
657daf20122fa666071aa569,00000000--1123150023 - 5370-273-204,Pass ,Pass ,459,435,Pass ,Pass ,Pass ,Pass ,45,
657daf20122fa666071aa56a,00000000--1123150024 - 5370-273-204,Pass ,Pass ,458,443,Pass ,Pass ,Pass ,Pass ,50,
657daf20122fa666071aa56b,00000000--1123150025 - 5370-273-204,Pass ,Pass ,458,436,Pass ,Pass ,Pass ,Pass ,45,
657daf20122fa666071aa56c,00000000--1123150026 - 5370-273-204,Pass ,Pass ,459,434,Pass ,Pass ,Pass ,Pass ,50,
657daf20122fa666071aa56d,00000000--1123150027 - 5370-273-204,Pass ,Pass ,458,435,Pass ,Pass ,Pass ,Pass ,55,
657daf20122fa666071aa56e,00000000--1123150028 - 5370-273-204,Pass ,Pass ,458,432,Pass ,Pass ,Pass ,Pass ,50,
657daf20122fa666071aa56f,00000000--1123150029 - 5370-273-214,Pass ,Pass ,389,388,Pass ,Pass ,Pass ,Pass ,60,
657daf20122fa666071aa570,00000000--1123150030 - 5370-273-214,Pass ,Pass ,393,391,Pass ,Pass ,Pass ,Pass ,60,
657daf20122fa666071aa571,00000000--1123150031 - 5370-273-214,Pass ,Pass ,389,389,Pass ,Pass ,Pass ,Pass ,55,
657daf20122fa666071aa572,00000000--1123150032 - 5370-273-214,Pass ,Pass ,389,390,Pass ,Pass ,Pass ,Pass ,55,
657daf20122fa666071aa573,00000000--1123150033 - 5370-273-214,Pass ,Pass ,390,390,Pass ,Pass ,Pass ,Pass ,60,
657daf20122fa666071aa574,00000000--1123150034 - 5370-273-214,Pass ,Pass ,389,390,Pass ,Pass ,Pass ,Pass ,65,
657daf20122fa666071aa575,00000000--1123150035 - 5370-273-214,Pass ,Pass ,389,390,Pass ,Pass ,Pass ,Pass ,50,
657daf20122fa666071aa576,00000000--1123150036 - 5370-273-214,Pass ,Pass ,394,390,Pass ,Pass ,Pass ,Pass ,55,
657daf20122fa666071aa598,00000000--1123160004 - 5370-169-214,Pass ,null,null,392,Pass ,Pass ,Pass ,Pass ,null,
657daf20122fa666071aa599,00000000--1123160005 - 5370-169-214,Pass ,null,null,393,Pass ,Pass ,Pass ,Pass ,null,
657daf20122fa666071aa5fc,00000000--1123180101 - 5370-273-323,Pass ,Pass ,396,394,Pass ,Pass ,Pass ,Pass ,50,
657daf20122fa666071aa660,00000000--1123220044 - 5370-273-204,Pass ,Pass ,447,440,Pass ,Pass ,Pass ,Pass ,30,
657daf20122fa666071aa6c4,00000000--1123310137 - 5370-273-323,Pass ,Pass ,395,395,Pass ,Pass ,Pass ,Pass ,65,
657daf20122fa666071aa728,00000000--1123450013 - 5370-273-323,Pass ,Pass ,395,396,Pass ,null,null,Pass ,50,
657daf20122fa666071aa78c,000000000A1123150129 - 5370-170-217,null,null,null,312,Pass ,Pass ,Pass ,Pass ,null,
657daf20122fa666071aa7f0,000000000A1123220234 - 5370-170-211,null,null,null,318,Pass ,Pass ,Pass ,- ,null,
657daf20122fa666071aa854,000000000A1123300064 - 5370-169-278,Pass ,Pass ,null,29,Pass ,Pass ,Pass ,Pass ,90,
657daf20122fa666071aa8b8,000000000A1123370234 - 5370-170-225,null,null,null,301,Pass ,Pass ,Pass ,Pass ,null,
657daf20122fa666071aa577,00000000--1123150054 - 5370-273-204,Pass ,Pass ,459,440,Pass ,Pass ,Pass ,Pass ,50,
657daf20122fa666071aa5dd,00000000--1123170167 - 5370-273-204,Pass ,Pass ,438,458,Pass ,Pass ,Pass ,Pass ,45,
657daf20122fa666071aa5de,00000000--1123170168 - 5370-273-204,Pass ,Pass ,449,458,Pass ,Pass ,Pass ,Pass ,50,
657daf20122fa666071aa642,00000000--1123210013 - 5370-169-214,Pass ,null,null,402,Pass ,Pass ,Pass ,Pass ,null,
657daf20122fa666071aa643,00000000--1123210182 - 5370-273-204,Pass ,Pass ,440,461,Pass ,Pass ,Pass ,Pass ,40,
657daf20122fa666071aa6a7,00000000--1123290159 - 5370-273-323,null,Pass ,398,395,null,Pass ,Pass ,null,50,
657daf20122fa666071aa6a8,00000000--1123300013 - 5370-273-323,Pass ,Pass ,398,397,Pass ,Pass ,Pass ,Pass ,65,
657daf20122fa666071aa70c,00000000--1123440128 - 5371-170-047,Pass ,null,null,155,Pass ,null,null,Pass ,null,
657daf20122fa666071aa70d,00000000--1123440211 - 5371-270-009,Pass ,null,null,249,Pass ,null,null,Pass ,null,
657daf20122fa666071aa771,000000000A1123140083 - 5370-170-225,null,null,null,320,Pass ,Pass ,Pass ,Pass ,null,
657daf20122fa666071aa772,000000000A1123140084 - 5370-170-225,null,null,null,320,Pass ,Pass ,Pass ,Pass ,null,
657daf20122fa666071aa7d6,000000000A1123210067 - 5370-170-207,null,null,null,320,Pass ,Pass ,Pass ,Pass ,null,
657daf20122fa666071aa7d7,000000000A1123210068 - 5370-170-207,null,null,null,320,Pass ,Pass ,Pass ,Pass ,null,
657daf20122fa666071aa83b,000000000A1123280179 - 5370-170-225,Pass ,null,null,312,Pass ,Pass ,Pass ,Pass ,null,
657daf20122fa666071aa83c,000000000A1123280180 - 5370-170-225,Pass ,null,null,312,Pass ,Pass ,Pass ,Pass ,null,
657daf20122fa666071aa8a0,000000000A1123370107 - 5370-169-278,Pass ,Pass ,null,462,Pass ,Pass ,Pass ,Pass ,50,
657daf20122fa666071aa8a1,000000000A1123370186 - 5370-169-279,Pass ,Pass ,null,436,Pass ,Pass ,Pass ,Pass ,50,
657daf20122fa666071aa905,000000000A1123440357 - 5370-270-229,Pass ,null,396,396,Pass ,null,null,Pass ,null,
657daf20122fa666071aa906,000000000A1123440384 - 5370-169-278,Pass ,Pass ,null,29,Pass ,null,null,Pass ,50,
657daf20122fa666071aa578,00000000--1123150055 - 5370-273-204,Pass ,Pass ,459,435,Pass ,Pass ,Pass ,Pass ,55,
657daf20122fa666071aa5e0,00000000--1123170170 - 5370-273-204,Pass ,Pass ,439,458,Pass ,Pass ,Pass ,Pass ,35,
657daf20122fa666071aa5e1,00000000--1123170171 - 5370-273-204,Pass ,Pass ,458,461,Pass ,Pass ,Pass ,Pass ,50,
657daf20122fa666071aa647,00000000--1123210188 - 5370-273-204,Pass ,Pass ,439,455,Pass ,Pass ,Pass ,Pass ,25,
657daf20122fa666071aa648,00000000--1123210199 - 5370-169-214,Pass ,null,null,401,Pass ,Pass ,Pass ,Pass ,null,
657daf20122fa666071aa6ae,00000000--1123300019 - 5370-273-323,Pass ,Pass ,398,397,Pass ,Pass ,Pass ,Pass ,55,
657daf20122fa666071aa6af,00000000--1123300020 - 5370-273-323,Pass ,Pass ,394,397,Pass ,Pass ,Pass ,Pass ,55,
657daf20122fa666071aa715,00000000--1123440230 - 5370-273-323,Pass ,Pass ,396,396,Pass ,null,null,Pass ,50,
657daf20122fa666071aa77c,000000000A1123140123 - 5370-170-225,null,null,null,320,- ,Pass ,Pass ,- ,null,
657daf20122fa666071aa7e3,000000000A1123210321 - 5370-169-249,Pass ,null,null,445,Pass ,Pass ,Pass ,Pass ,75,
657daf20122fa666071aa84a,000000000A1123290081 - 5370-169-279,null,Pass ,null,439,null,Pass ,Pass ,null,50,
657daf20122fa666071aa8b1,000000000A1123370220 - 5370-170-225,null,null,null,400,Pass ,Pass ,Pass ,Pass ,null,
657daf20122fa666071aa918,000000000B1123150051 - 5370-169-288,Pass ,Pass ,null,22,Pass ,Pass ,Pass ,Pass ,100,
657daf20122fa666071aa579,00000000--1123150066 - 5371-170-047,null,null,null,150,Pass ,Pass ,Pass ,Pass ,null,
657daf20122fa666071aa5e3,00000000--1123170173 - 5370-273-204,Pass ,Pass ,458,461,Pass ,Pass ,Pass ,Pass ,50,
657daf20122fa666071aa64c,00000000--1123210218 - 5370-169-214,Pass ,null,null,399,Pass ,Pass ,Pass ,Pass ,null,
657daf20122fa666071aa6b5,00000000--1123300164 - 5370-273-323,Pass ,Pass ,395,400,Pass ,Pass ,Pass ,Pass ,55,
657daf20122fa666071aa71d,00000000--1123440242 - 5370-273-323,Pass ,Pass ,396,396,Pass ,null,null,Pass ,50,
657daf20122fa666071aa785,000000000A1123150102 - 5370-169-248,Pass ,null,null,30,Pass ,Pass ,Pass ,Pass ,75,
657daf20122fa666071aa7ed,000000000A1123220231 - 5370-170-211,null,null,null,318,- ,Pass ,Pass ,- ,null,
657daf20122fa666071aa856,000000000A1123310077 - 5370-169-279,Pass ,Pass ,null,438,Pass ,Pass ,Pass ,Pass ,75,
657daf20122fa666071aa8be,000000000A1123370276 - 5370-169-279,Pass ,Pass ,null,435,Pass ,Pass ,Pass ,Pass ,55,
657daf20122fa666071aa57a,00000000--1123150067 - 5371-170-047,null,null,null,150,Pass ,Pass ,Pass ,Pass ,null,
657daf20122fa666071aa57b,00000000--1123150068 - 5371-170-047,null,null,null,150,Pass ,Pass ,Pass ,Pass ,null,
657daf20122fa666071aa5e5,00000000--1123180008 - 5370-169-214,Pass ,null,null,395,Pass ,Pass ,Pass ,Pass ,null,
657daf20122fa666071aa5e6,00000000--1123180035 - 5370-273-229,Pass ,Pass ,394,395,Pass ,Pass ,Pass ,Pass ,50,
657daf20122fa666071aa64f,00000000--1123210242 - 5370-273-323,Pass ,Pass ,395,396,Pass ,Pass ,Pass ,Pass ,50,
657daf20122fa666071aa650,00000000--1123210245 - 5370-273-323,Pass ,Pass ,397,396,Pass ,Pass ,Pass ,Pass ,45,
657daf20122fa666071aa6b9,00000000--1123300168 - 5370-273-323,Pass ,Pass ,395,396,Pass ,Pass ,Pass ,Pass ,55,
657daf20122fa666071aa6ba,00000000--1123300169 - 5370-273-323,Pass ,Pass ,400,396,Pass ,Pass ,Pass ,Pass ,58,
657daf20122fa666071aa722,00000000--1123440386 - 5370-273-323,Pass ,Pass ,398,398,Pass ,null,null,Pass ,50,
657daf20122fa666071aa723,00000000--1123440387 - 5370-273-323,Pass ,Pass ,398,398,Pass ,null,null,Pass ,50,
657daf20122fa666071aa78b,000000000A1123150128 - 5370-170-217,null,null,null,312,Pass ,Pass ,Pass ,Pass ,null,
657daf20122fa666071aa78d,000000000A1123150130 - 5370-170-217,null,null,null,312,- ,Pass ,Pass ,- ,null,
657daf20122fa666071aa7f5,000000000A1123230087 - 5370-170-206,null,null,null,320,- ,Pass ,Pass ,- ,null,
657daf20122fa666071aa85e,000000000A1123310172 - 5370-170-225,null,null,null,320,Pass ,Pass ,Pass ,Pass ,null,
657daf20122fa666071aa85f,000000000A1123310173 - 5370-170-225,null,null,null,320,Pass ,Pass ,Pass ,Pass ,null,
657daf20122fa666071aa8c7,000000000A1123380011 - 5370-169-278,Pass ,Pass ,null,29,Pass ,Pass ,Pass ,Pass ,55,
657daf20122fa666071aa8c8,000000000A1123380012 - 5370-169-278,Pass ,Pass ,null,29,Pass ,Pass ,Pass ,Pass ,55,
657daf20122fa666071aa57c,00000000--1123150069 - 5371-170-047,null,null,null,150,Pass ,Pass ,Pass ,Pass ,null,
657daf20122fa666071aa57d,00000000--1123150070 - 5371-170-047,null,null,null,150,Pass ,Pass ,Pass ,Pass ,null,
657daf20122fa666071aa5e9,00000000--1123180068 - 5371-270-009,null,null,null,255,null,null,null,null,null,
657daf20122fa666071aa5ea,00000000--1123180082 - 5370-273-323,Pass ,Pass ,396,392,Pass ,Pass ,Pass ,Pass ,68,
657daf20122fa666071aa655,00000000--1123210270 - 5370-273-323,Pass ,Pass ,395,396,Pass ,Pass ,Pass ,Pass ,50,
657daf20122fa666071aa656,00000000--1123210271 - 5370-273-323,Pass ,Pass ,395,394,Pass ,Pass ,Pass ,Pass ,50,
657daf20122fa666071aa6c1,00000000--1123310132 - 5370-273-323,Pass ,Pass ,397,396,Pass ,Pass ,Pass ,Pass ,55,
657daf20122fa666071aa6c2,00000000--1123310134 - 5370-273-323,Pass ,Pass ,398,398,Pass ,Pass ,Pass ,Pass ,55,
657daf20122fa666071aa72d,00000000--1123450025 - 5370-273-323,Pass ,Pass ,398,398,Pass ,null,null,Pass ,50,
657daf20122fa666071aa72e,00000000--1123450026 - 5370-273-323,Pass ,Pass ,396,396,Pass ,null,null,Pass ,50,
657daf20122fa666071aa798,000000000A1123160009 - 5370-170-217,null,null,null,320,Pass ,Pass ,Pass ,Pass ,null,
657daf20122fa666071aa802,000000000A1123230245 - 5370-169-249,Pass ,null,null,438,Pass ,Pass ,Pass ,Pass ,50,
657daf20122fa666071aa86d,000000000A1123310234 - 5370-169-279,null,Pass ,null,343,Pass ,Pass ,Pass ,Pass ,50,
657daf20122fa666071aa8d8,000000000A1123400128 - 5370-170-207,Pass ,null,null,302,Pass ,null,null,Pass ,null,
657daf20122fa666071aa57e,00000000--1123150107 - 5370-273-214,Pass ,Pass ,393,393,Pass ,Pass ,Pass ,Pass ,50,
657daf20122fa666071aa5ed,00000000--1123180085 - 5370-273-323,Pass ,Pass ,396,393,Pass ,Pass ,Pass ,Pass ,50,
657daf20122fa666071aa65b,00000000--1123210397 - 5370-169-214,Pass ,null,null,399,Pass ,Pass ,Pass ,Pass ,null,
657daf20122fa666071aa6ca,00000000--1123310145 - 5370-273-323,Pass ,Pass ,398,398,Pass ,Pass ,Pass ,Pass ,55,
657daf20122fa666071aa737,000000000-1123200223 - 5370-170-219,null,null,null,20,Pass ,Pass ,Pass ,Pass ,null,
657daf20122fa666071aa7a3,000000000A1123160022 - 5370-170-206,null,null,null,21,Pass ,Pass ,Pass ,Pass ,null,
657daf20122fa666071aa80e,000000000A1123250150 - 5370-273-318,Pass ,Pass ,394,396,Pass ,Pass ,Pass ,Pass ,40,
657daf20122fa666071aa87a,000000000A1123320177 - 5370-271-230,Pass ,Pass ,396,null,Pass ,Pass ,Pass ,Pass ,50,
657daf20122fa666071aa8e6,000000000A1123420091 - 5370-170-212,Pass ,null,null,229,Pass ,null,null,Pass ,null,
657daf20122fa666071aa8e7,000000000A1123420092 - 5370-170-212,Pass ,null,null,229,Pass ,null,null,Pass ,null,
657daf20122fa666071aa57f,00000000--1123150108 - 5370-273-214,Pass ,Pass ,394,393,Pass ,Pass ,Pass ,Pass ,55,
657daf20122fa666071aa5ef,00000000--1123180088 - 5370-273-323,Pass ,Pass ,396,396,Pass ,Pass ,Pass ,Pass ,55,
657daf20122fa666071aa5f0,00000000--1123180089 - 5370-273-323,Pass ,Pass ,397,395,Pass ,Pass ,Pass ,Pass ,55,
657daf20122fa666071aa65e,00000000--1123220042 - 5370-273-204,Pass ,Pass ,458,460,Pass ,Pass ,Pass ,Pass ,30,
657daf20122fa666071aa65f,00000000--1123220043 - 5370-273-204,Pass ,Pass ,460,440,Pass ,Pass ,Pass ,Pass ,40,
657daf20122fa666071aa6ce,00000000--1123340299 - 5371-170-047,Pass ,null,null,150,Pass ,Pass ,Pass ,Pass ,null,
657daf20122fa666071aa6cf,00000000--1123340300 - 5371-170-047,Pass ,null,null,150,Pass ,Pass ,Pass ,Pass ,null,
657daf20122fa666071aa73c,000000000-1123230059 - 5370-271-201,null,Pass ,2.1,2.3,- ,Pass ,Pass ,- ,15.5,
657daf20122fa666071aa73d,000000000-1123240099 - 5370-170-220,Pass ,null,null,320,Pass ,Pass ,Pass ,Pass ,null,
657daf20122fa666071aa7a9,000000000A1123160122 - 5370-169-278,Pass ,Pass ,null,30.2,Pass ,Pass ,Pass ,Pass ,85,
657daf20122fa666071aa7aa,000000000A1123160123 - 5370-169-278,Pass ,Pass ,null,30.2,Pass ,Pass ,Pass ,Pass ,80,
657daf20122fa666071aa815,000000000A1123260073 - 5370-170-207,Pass ,null,null,320,Pass ,Pass ,Pass ,Pass ,null,
657daf20122fa666071aa816,000000000A1123260074 - 5370-170-207,Pass ,null,null,306,Pass ,Pass ,Pass ,Pass ,null,
657daf20122fa666071aa882,000000000A1123320188 - 5370-271-230,Pass ,Pass ,457,null,Pass ,Pass ,Pass ,Pass ,50,
657daf20122fa666071aa883,000000000A1123320191 - 5370-271-230,Pass ,Pass ,411,null,Pass ,Pass ,Pass ,Pass ,50,
657daf20122fa666071aa8f0,000000000A1123430251 - 5370-169-278,Pass ,Pass ,null,29,Pass ,null,null,Pass ,50,
657daf20122fa666071aa8f1,000000000A1123430252 - 5370-169-278,Pass ,Pass ,null,29,Pass ,null,null,Pass ,75,
657daf20122fa666071aa580,00000000--1123150109 - 5370-273-214,Pass ,Pass ,392,392,Pass ,Pass ,Pass ,Pass ,50,
657daf20122fa666071aa581,00000000--1123150110 - 5370-273-214,Pass ,Pass ,396,393,Pass ,Pass ,Pass ,Pass ,55,
657daf20122fa666071aa5f2,00000000--1123180091 - 5370-273-323,Pass ,Pass ,396,393,Pass ,Pass ,Pass ,Pass ,60,
657daf20122fa666071aa5f3,00000000--1123180092 - 5370-273-323,Pass ,Pass ,393,396,Pass ,Pass ,Pass ,Pass ,50,
657daf20122fa666071aa664,00000000--1123220063 - 5370-273-204,Pass ,Pass ,437,457,Pass ,Pass ,Pass ,Pass ,30,
657daf20122fa666071aa665,00000000--1123220064 - 5370-273-204,Pass ,Pass ,462,436,Pass ,Pass ,Pass ,Pass ,35,
657daf20122fa666071aa6d5,00000000--1123360203 - 5370-273-323,Pass ,Pass ,396,393,Pass ,Pass ,Pass ,Pass ,55,
657daf20122fa666071aa745,000000000-1123370140 - 5370-170-220,Pass ,null,null,420,Pass ,Pass ,Pass ,Pass ,null,
657daf20122fa666071aa7b4,000000000A1123170109 - 5370-169-278,Pass ,Pass ,null,30,Pass ,Pass ,Pass ,Pass ,90,
657daf20122fa666071aa822,000000000A1123270187 - 5370-169-279,Pass ,Pass ,null,436,Pass ,Pass ,Pass ,Pass ,50,
657daf20122fa666071aa891,000000000A1123350048 - 5370-169-248,Pass ,null,null,29,Pass ,Pass ,Pass ,Pass ,50,
657daf20122fa666071aa901,000000000A1123440030 - 5370-170-207,Pass ,null,null,312,Pass ,null,null,Pass ,null,
657daf20122fa666071aa582,00000000--1123150111 - 5370-273-214,Pass ,Pass ,392,393,Pass ,Pass ,Pass ,Pass ,55,
657daf20122fa666071aa5f6,00000000--1123180095 - 5370-273-323,Pass ,Pass ,396,396,Pass ,Pass ,Pass ,Pass ,55,
657daf20122fa666071aa66a,00000000--1123230346 - 5370-273-323,Pass ,Pass ,394,395,Pass ,Pass ,Pass ,Pass ,60,
657daf20122fa666071aa6dc,00000000--1123390084 - 5370-169-218,Pass ,null,null,396,Pass ,null,null,Pass ,null,
657daf20122fa666071aa74d,000000000-1123390018 - 5370-170-220,Pass ,null,null,320,Pass ,null,null,Pass ,null,
657daf20122fa666071aa7bd,000000000A1123180016 - 5370-170-207,null,null,null,320,Pass ,Pass ,Pass ,Pass ,null,
657daf20122fa666071aa82c,000000000A1123280164 - 5370-170-225,Pass ,null,null,312,Pass ,Pass ,Pass ,Pass ,null,
657daf20122fa666071aa89c,000000000A1123350232 - 5370-169-278,Pass ,Pass ,null,30,Pass ,Pass ,Pass ,Pass ,100,
657daf20122fa666071aa90f,000000000B1123150006 - 5370-169-288,null,null,null,null,null,"-, Pass ","-, Pass ",null,null,
657daf20122fa666071aa583,00000000--1123150112 - 5370-273-214,Pass ,Pass ,395,393,Pass ,Pass ,Pass ,Pass ,50,
657daf20122fa666071aa584,00000000--1123150113 - 5370-273-214,Pass ,Pass ,395,393,Pass ,Pass ,Pass ,Pass ,50,
657daf20122fa666071aa5f8,00000000--1123180097 - 5370-273-323,Pass ,Pass ,397,396,Pass ,Pass ,Pass ,Pass ,60,
657daf20122fa666071aa5f9,00000000--1123180098 - 5370-273-323,Pass ,Pass ,396,393,Pass ,Pass ,Pass ,Pass ,60,
657daf20122fa666071aa66d,00000000--1123230350 - 5370-273-323,Pass ,Pass ,394,395,Pass ,Pass ,Pass ,Pass ,55,
657daf20122fa666071aa66e,00000000--1123230371 - 5370-273-323,Pass ,Pass ,394,397,Pass ,Pass ,Pass ,Pass ,50,
657daf20122fa666071aa6e0,00000000--1123400040 - 5370-273-323,Pass ,Pass ,396,396,Pass ,null,null,Pass ,58,
657daf20122fa666071aa6e1,00000000--1123400041 - 5370-273-323,Pass ,Pass ,394,394,Pass ,null,null,Pass ,50,
657daf20122fa666071aa752,000000000A1123140012 - 5370-169-278,Pass ,Pass ,null,29.8,Pass ,Pass ,Pass ,Pass ,75,
657daf20122fa666071aa753,000000000A1123140013 - 5370-169-278,Pass ,Pass ,null,30,Pass ,Pass ,Pass ,Pass ,100,
657daf20122fa666071aa7c3,000000000A1123190023 - 5370-170-217,null,null,null,320,Pass ,Pass ,Pass ,Pass ,null,
