Timestamp,Buildid,Cellname,Productarticlenumber,Lost Time in minutes,Linename,Product_expectedbuildtime,Actual_buildtime_step,Process_losttime,Interferencecomment,Interferencecategorymain,Interferencecategorysub,Productname
2024-08-16T00:00:00.000-07:00,623795,Kitting,5370-273-214,null,Model Value Stream,600,86,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2024-08-21T00:00:00.000-07:00,623800,Kitting,5370-273-214,null,Model Value Stream,600,93,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2024-08-25T00:00:00.000-07:00,623857,Kitting,5370-273-214,null,Model Value Stream,600,103,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2024-10-03T00:00:00.000-07:00,623800,Hub-Shaft-Armature Assembly,5370-273-214,null,Model Value Stream,600,225,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2024-10-29T00:00:00.000-07:00,623788,Housing Assembly,5370-273-214,null,Model Value Stream,600,376,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2024-12-13T00:00:00.000-08:00,623797,Final Assembly,5370-273-214,null,Model Value Stream,600,1,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2024-12-28T00:00:00.000-08:00,623774,Burnish and Inspection,5370-273-214,null,Model Value Stream,600,393,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2025-01-04T00:00:00.000-08:00,623781,Burnish and Inspection,5370-273-214,null,Model Value Stream,600,536,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2025-01-28T00:00:00.000-08:00,623859,Burnish and Inspection,5370-273-214,null,Model Value Stream,600,471,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2025-01-30T00:00:00.000-08:00,623861,Burnish and Inspection,5370-273-214,19.382558,Model Value Stream,600,1763,1163,"Wait for housing- not following standard, rest break ",Incorrect Standard Work,,5370-273-214_C/B UM-180-1020 90V GEN2,
2025-02-03T00:00:00.000-08:00,623774,Pack Station,5370-273-214,null,Model Value Stream,600,208,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2025-02-13T00:00:00.000-08:00,623785,Pack Station,5370-273-214,null,Model Value Stream,600,22,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2025-02-25T00:00:00.000-08:00,623797,Pack Station,5370-273-214,null,Model Value Stream,600,92,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2025-03-13T00:00:00.000-07:00,623703,Kitting,5370-169-227,null,Model Value Stream,360,143,null,null,null,null,5370-169-227_BK EM100-20 90V SGLARM GEN2,
2023-12-16T00:00:00.000-08:00,623681,Housing Assembly,5371-169-023,null,Model Value Stream,480,41,null,null,null,null,5371-169-023_BK EM-210-20 90V,
2023-11-09T00:00:00.000-08:00,623942,Kitting,5370-273-214,null,Model Value Stream,600,84,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2023-12-01T00:00:00.000-08:00,623681,Hub-Shaft-Armature Assembly,5371-169-023,null,Model Value Stream,480,2,null,null,null,null,5371-169-023_BK EM-210-20 90V,
2023-11-30T00:00:00.000-08:00,623890,Hub-Shaft-Armature Assembly,5370-273-248,null,Model Value Stream,600,158,null,null,null,null,5370-273-248_C/B UM-100-1020FBC 24V GEN2,
2023-12-05T00:00:00.000-08:00,623966,Hub-Shaft-Armature Assembly,5371-170-048,null,Model Value Stream,600,12,null,null,null,null,"5371-170-048_EM-210/ERS-68, 90V,10 FT/LB",
2023-12-06T00:00:00.000-08:00,623729,Hub-Shaft-Armature Assembly,5371-271-027,null,Model Value Stream,null,56,null,null,null,null,5371-271-027_CL UM-215-1040 24V,
2023-12-11T00:00:00.000-08:00,623408,Housing Assembly,5370-169-258,null,Model Value Stream,720,178,null,null,null,null,5370-169-258_BK EM-180-20MBFB 24V GEN12,
2023-12-17T00:00:00.000-08:00,623876,Housing Assembly,5371-169-023,null,Model Value Stream,480,162,null,null,null,null,5371-169-023_BK EM-210-20 90V,
2023-12-23T00:00:00.000-08:00,623873,Final Assembly,5370-169-214,null,Model Value Stream,360,1,null,null,null,null,5370-169-214_BK EM-180-20 90V GEN2,
2024-01-02T00:00:00.000-08:00,623877,Final Assembly,5371-169-023,null,Model Value Stream,480,13,null,null,null,null,5371-169-023_BK EM-210-20 90V,
2024-01-11T00:00:00.000-08:00,623277,Burnish and Inspection,5370-169-272,6.433076,Model Value Stream,720,1106,386,TL help fix resistance issue on mbrain in 632 ,Punctuality/Attendance ,,5370-169-272_GEN2 EUM-180-20MBFB 90V,
2024-01-24T00:00:00.000-08:00,623726,Pack Station,5370-169-259,null,Model Value Stream,720,71,null,null,null,null,5370-169-259-BK EM-180-20MBFB 90V GEN2,
2024-01-25T00:00:00.000-08:00,623727,Pack Station,5370-169-259,null,Model Value Stream,720,78,null,null,null,null,5370-169-259-BK EM-180-20MBFB 90V GEN2,
2024-02-23T00:00:00.000-08:00,623681,Kitting,5371-169-023,null,Model Value Stream,480,136,null,null,null,null,5371-169-023_BK EM-210-20 90V,
2024-02-27T00:00:00.000-08:00,623966,Kitting,5371-170-048,1.616602,Model Value Stream,600,381,97,Parts by the Cafe.,Incorrect Kitting Standard Time,,"5371-170-048_EM-210/ERS-68, 90V,10 FT/LB",
2024-03-06T00:00:00.000-08:00,623277,Hub-Shaft-Armature Assembly,5370-169-272,null,Model Value Stream,720,24,null,null,null,null,5370-169-272_GEN2 EUM-180-20MBFB 90V,
2024-04-06T00:00:00.000-07:00,623869,Housing Assembly,5370-169-278,null,Model Value Stream,720,23,null,null,null,null,5370-169-278_BK EM-50-20FBB 24V GEN2,
2024-04-12T00:00:00.000-07:00,623885,Housing Assembly,5370-273-204,null,Model Value Stream,600,154,null,null,null,null,5370-273-204_C/B UM-50-1020 90V GEN2,
2024-04-15T00:00:00.000-07:00,623875,Housing Assembly,5370-273-235,null,Model Value Stream,720,11,null,null,null,null,5370-273-235-C-B UM-180-2030 90V AF GEN2,
2024-05-07T00:00:00.000-07:00,623882,Final Assembly,5370-169-289,null,Model Value Stream,720,1,null,null,null,null,5370-169-289_BK EM-180-20FBB 90V GEN2,
2024-05-10T00:00:00.000-07:00,623870,Final Assembly,5370-270-229,null,Model Value Stream,360,7,null,null,null,null,5370-270-229_CL EM-180-30 90V GEN2,
2024-05-26T00:00:00.000-07:00,623761,Final Assembly,5370-273-323,null,Model Value Stream,600,null,null,null,null,null,5370-273-323_HD C/B UM180-1020 90V GEN2,
2024-06-19T00:00:00.000-07:00,623756,Burnish and Inspection,5370-273-323,null,Model Value Stream,600,461,null,null,null,null,5370-273-323_HD C/B UM180-1020 90V GEN2,
2024-07-02T00:00:00.000-07:00,623728,Pack Station,5370-169-262,null,Model Value Stream,360,266,null,null,null,null,5370-169-262_BK EUM-180-20FBB-LK 90 GEN2,
2024-07-03T00:00:00.000-07:00,623869,Pack Station,5370-169-278,null,Model Value Stream,720,37,null,null,null,null,5370-169-278_BK EM-50-20FBB 24V GEN2,
2024-07-15T00:00:00.000-07:00,623751,Pack Station,5370-273-323,null,Model Value Stream,600,91,null,null,null,null,5370-273-323_HD C/B UM180-1020 90V GEN2,
2024-08-20T00:00:00.000-07:00,623799,Kitting,5370-273-214,null,Model Value Stream,600,107,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2024-10-02T00:00:00.000-07:00,623799,Hub-Shaft-Armature Assembly,5370-273-214,null,Model Value Stream,600,4,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2024-10-23T00:00:00.000-07:00,623781,Housing Assembly,5370-273-214,null,Model Value Stream,600,2,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2024-11-03T00:00:00.000-07:00,623793,Housing Assembly,5370-273-214,null,Model Value Stream,600,5,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2024-11-28T00:00:00.000-08:00,623781,Final Assembly,5370-273-214,null,Model Value Stream,600,17,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2025-01-13T00:00:00.000-08:00,623791,Burnish and Inspection,5370-273-214,null,Model Value Stream,600,435,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2025-03-02T00:00:00.000-08:00,623802,Pack Station,5370-273-214,null,Model Value Stream,600,109,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2023-11-18T00:00:00.000-08:00,623951,Kitting,5370-273-214,null,Model Value Stream,600,99,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2023-11-22T00:00:00.000-08:00,623377,Kitting,5371-273-003,null,Model Value Stream,720,180,null,null,null,null,5371-273-003_CL/BK UM-210-1020 90V,
2024-01-08T00:00:00.000-08:00,623408,Burnish and Inspection,5370-169-258,4.199832,Model Value Stream,720,612,252,Cycle times not meeting with other cells ,Incorrect Standard Work,,5370-169-258_BK EM-180-20MBFB 24V GEN12,
2024-01-27T00:00:00.000-08:00,623531,Pack Station,5370-169-272,null,Model Value Stream,720,164,null,null,null,null,5370-169-272_GEN2 EUM-180-20MBFB 90V,
2024-02-01T00:00:00.000-08:00,623876,Pack Station,5371-169-023,null,Model Value Stream,480,105,null,null,null,null,5371-169-023_BK EM-210-20 90V,
2024-02-03T00:00:00.000-08:00,623966,Pack Station,5371-170-048,null,Model Value Stream,600,94,null,null,null,null,"5371-170-048_EM-210/ERS-68, 90V,10 FT/LB",
2024-02-07T00:00:00.000-08:00,623408,Kitting,5370-169-258,null,Model Value Stream,720,181,null,null,null,null,5370-169-258_BK EM-180-20MBFB 24V GEN12,
2024-03-05T00:00:00.000-08:00,623727,Hub-Shaft-Armature Assembly,5370-169-259,null,Model Value Stream,720,57,null,null,null,null,5370-169-259-BK EM-180-20MBFB 90V GEN2,
2024-03-16T00:00:00.000-07:00,623706,Hub-Shaft-Armature Assembly,5370-273-253,null,Model Value Stream,720,69,null,null,null,null,5370-273-253_C/B UM-180-1020FBC 24V GEN2,
2024-03-22T00:00:00.000-07:00,623757,Hub-Shaft-Armature Assembly,5370-273-323,null,Model Value Stream,600,19,null,null,null,null,5370-273-323_HD C/B UM180-1020 90V GEN2,
2024-03-24T00:00:00.000-07:00,623759,Hub-Shaft-Armature Assembly,5370-273-323,null,Model Value Stream,600,245,null,null,null,null,5370-273-323_HD C/B UM180-1020 90V GEN2,
2024-04-24T00:00:00.000-07:00,623759,Housing Assembly,5370-273-323,4.766476,Model Value Stream,600,886,286,Forgot to validate ,Operator Error/Mistake,,5370-273-323_HD C/B UM180-1020 90V GEN2,
2024-04-30T00:00:00.000-07:00,623765,Housing Assembly,5370-273-323,null,Model Value Stream,600,161,null,null,null,null,5370-273-323_HD C/B UM180-1020 90V GEN2,
2024-05-06T00:00:00.000-07:00,623869,Final Assembly,5370-169-278,null,Model Value Stream,720,57,null,null,null,null,5370-169-278_BK EM-50-20FBB 24V GEN2,
2024-05-21T00:00:00.000-07:00,623756,Final Assembly,5370-273-323,null,Model Value Stream,600,91,null,null,null,null,5370-273-323_HD C/B UM180-1020 90V GEN2,
2024-06-02T00:00:00.000-07:00,623676,Burnish and Inspection,5370-169-214,null,Model Value Stream,360,14,null,null,null,null,5370-169-214_BK EM-180-20 90V GEN2,
2024-06-30T00:00:00.000-07:00,623871,Pack Station,5370-169-203,null,Model Value Stream,360,116,null,null,null,null,5370-169-203_BK EM-50-20 24V GEN2,
2024-07-31T00:00:00.000-07:00,623725,Kitting,5370-169-226,null,Model Value Stream,360,173,null,null,null,null,5370-169-226_BK EM-100-20 90V 5/8 B SPCL,
2024-08-30T00:00:00.000-07:00,623875,Kitting,5370-273-235,null,Model Value Stream,720,147,null,null,null,null,5370-273-235-C-B UM-180-2030 90V AF GEN2,
2024-08-31T00:00:00.000-07:00,623750,Kitting,5370-273-323,null,Model Value Stream,600,125,null,null,null,null,5370-273-323_HD C/B UM180-1020 90V GEN2,
2024-09-29T00:00:00.000-07:00,623796,Hub-Shaft-Armature Assembly,5370-273-214,null,Model Value Stream,600,1,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2024-10-05T00:00:00.000-07:00,623802,Hub-Shaft-Armature Assembly,5370-273-214,null,Model Value Stream,600,8,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2024-10-11T00:00:00.000-07:00,623861,Hub-Shaft-Armature Assembly,5370-273-214,null,Model Value Stream,600,14,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2024-10-22T00:00:00.000-07:00,623780,Housing Assembly,5370-273-214,null,Model Value Stream,600,38,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2024-11-29T00:00:00.000-08:00,623782,Final Assembly,5370-273-214,null,Model Value Stream,600,4,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2024-12-04T00:00:00.000-08:00,623788,Final Assembly,5370-273-214,null,Model Value Stream,600,2,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2024-12-07T00:00:00.000-08:00,623791,Final Assembly,5370-273-214,null,Model Value Stream,600,10,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2024-12-10T00:00:00.000-08:00,623794,Final Assembly,5370-273-214,null,Model Value Stream,600,10,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2025-01-01T00:00:00.000-08:00,623778,Burnish and Inspection,5370-273-214,null,Model Value Stream,600,359,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2025-01-22T00:00:00.000-08:00,623800,Burnish and Inspection,5370-273-214,null,Model Value Stream,600,386,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2025-02-17T00:00:00.000-08:00,623789,Pack Station,5370-273-214,null,Model Value Stream,600,98,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2025-03-03T00:00:00.000-08:00,623856,Pack Station,5370-273-214,null,Model Value Stream,600,73,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2024-01-16T00:00:00.000-08:00,623681,Burnish and Inspection,5371-169-023,null,Model Value Stream,480,188,null,null,null,null,5371-169-023_BK EM-210-20 90V,
2024-02-09T00:00:00.000-08:00,623531,Kitting,5370-169-272,null,Model Value Stream,720,171,null,null,null,null,5370-169-272_GEN2 EUM-180-20MBFB 90V,
2024-02-11T00:00:00.000-08:00,623889,Kitting,5370-273-248,null,Model Value Stream,600,147,null,null,null,null,5370-273-248_C/B UM-100-1020FBC 24V GEN2,
2024-03-02T00:00:00.000-08:00,623676,Hub-Shaft-Armature Assembly,5370-169-214,null,Model Value Stream,360,16,null,null,null,null,5370-169-214_BK EM-180-20 90V GEN2,
2024-03-19T00:00:00.000-07:00,623754,Hub-Shaft-Armature Assembly,5370-273-323,null,Model Value Stream,600,3,null,null,null,null,5370-273-323_HD C/B UM180-1020 90V GEN2,
2024-03-28T00:00:00.000-07:00,623763,Hub-Shaft-Armature Assembly,5370-273-323,null,Model Value Stream,600,6,null,null,null,null,5370-273-323_HD C/B UM180-1020 90V GEN2,
2024-03-29T00:00:00.000-07:00,623764,Hub-Shaft-Armature Assembly,5370-273-323,null,Model Value Stream,600,11,null,null,null,null,5370-273-323_HD C/B UM180-1020 90V GEN2,
2024-04-29T00:00:00.000-07:00,623764,Housing Assembly,5370-273-323,null,Model Value Stream,600,181,null,null,null,null,5370-273-323_HD C/B UM180-1020 90V GEN2,
2024-05-20T00:00:00.000-07:00,623755,Final Assembly,5370-273-323,null,Model Value Stream,600,10,null,null,null,null,5370-273-323_HD C/B UM180-1020 90V GEN2,
2024-06-07T00:00:00.000-07:00,623874,Burnish and Inspection,5370-270-204,null,Model Value Stream,360,5,null,null,null,null,5370-270-204_CL EM-50-10 90V GEN2,
2024-06-15T00:00:00.000-07:00,623750,Burnish and Inspection,5370-273-323,4.283162,Model Value Stream,600,857,257,TL step offline- help in housing cell ,Punctuality/Attendance ,,5370-273-323_HD C/B UM180-1020 90V GEN2,
2024-06-24T00:00:00.000-07:00,623761,Burnish and Inspection,5370-273-323,null,Model Value Stream,600,461,null,null,null,null,5370-273-323_HD C/B UM180-1020 90V GEN2,
2024-06-27T00:00:00.000-07:00,623764,Burnish and Inspection,5370-273-323,null,Model Value Stream,600,444,null,null,null,null,5370-273-323_HD C/B UM180-1020 90V GEN2,
2024-06-28T00:00:00.000-07:00,623765,Burnish and Inspection,5370-273-323,3.033212,Model Value Stream,600,782,182,"Wait for housing- rest Break, TL do housing assembly ",Punctuality/Attendance ,,5370-273-323_HD C/B UM180-1020 90V GEN2,
2024-07-05T00:00:00.000-07:00,623883,Pack Station,5370-169-289,null,Model Value Stream,720,114,null,null,null,null,5370-169-289_BK EM-180-20FBB 90V GEN2,
2024-07-20T00:00:00.000-07:00,623758,Pack Station,5370-273-323,null,Model Value Stream,600,83,null,null,null,null,5370-273-323_HD C/B UM180-1020 90V GEN2,
2024-07-21T00:00:00.000-07:00,623759,Pack Station,5370-273-323,null,Model Value Stream,600,103,null,null,null,null,5370-273-323_HD C/B UM180-1020 90V GEN2,
2024-07-29T00:00:00.000-07:00,623871,Kitting,5370-169-203,null,Model Value Stream,360,86,null,null,null,null,5370-169-203_BK EM-50-20 24V GEN2,
2024-08-09T00:00:00.000-07:00,623884,Kitting,5370-273-204,null,Model Value Stream,600,100,null,null,null,null,5370-273-204_C/B UM-50-1020 90V GEN2,
2024-08-18T00:00:00.000-07:00,623797,Kitting,5370-273-214,null,Model Value Stream,600,94,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2024-08-19T00:00:00.000-07:00,623798,Kitting,5370-273-214,null,Model Value Stream,600,102,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2024-08-28T00:00:00.000-07:00,623860,Kitting,5370-273-214,null,Model Value Stream,600,125,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2024-09-18T00:00:00.000-07:00,623785,Hub-Shaft-Armature Assembly,5370-273-214,null,Model Value Stream,600,2,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2024-09-25T00:00:00.000-07:00,623792,Hub-Shaft-Armature Assembly,5370-273-214,null,Model Value Stream,600,13,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2024-11-10T00:00:00.000-08:00,623800,Housing Assembly,5370-273-214,null,Model Value Stream,600,308,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2024-11-19T00:00:00.000-08:00,623725,Final Assembly,5370-169-226,null,Model Value Stream,360,34,null,null,null,null,5370-169-226_BK EM-100-20 90V 5/8 B SPCL,
2024-11-22T00:00:00.000-08:00,623775,Final Assembly,5370-273-214,null,Model Value Stream,600,12,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2024-12-16T00:00:00.000-08:00,623800,Final Assembly,5370-273-214,null,Model Value Stream,600,22,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2024-12-21T00:00:00.000-08:00,623858,Final Assembly,5370-273-214,null,Model Value Stream,600,7,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2024-12-23T00:00:00.000-08:00,623860,Final Assembly,5370-273-214,null,Model Value Stream,600,33,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2024-12-30T00:00:00.000-08:00,623776,Burnish and Inspection,5370-273-214,null,Model Value Stream,600,427,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2025-01-17T00:00:00.000-08:00,623795,Burnish and Inspection,5370-273-214,null,Model Value Stream,600,376,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2025-01-26T00:00:00.000-08:00,623857,Burnish and Inspection,5370-273-214,null,Model Value Stream,600,457,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2025-02-08T00:00:00.000-08:00,623779,Pack Station,5370-273-214,null,Model Value Stream,600,75,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2025-02-10T00:00:00.000-08:00,623781,Pack Station,5370-273-214,null,Model Value Stream,600,60,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2025-03-16T00:00:00.000-07:00,623686,Kitting,5370-169-289,null,Model Value Stream,720,75,null,null,null,null,5370-169-289_BK EM-180-20FBB 90V GEN2,
2024-01-06T00:00:00.000-08:00,623872,Burnish and Inspection,5370-169-204,null,Model Value Stream,360,163,null,null,null,null,5370-169-204_BK EM-50-20 90V GEN2,
2024-01-12T00:00:00.000-08:00,623531,Burnish and Inspection,5370-169-272,null,Model Value Stream,720,701,null,null,null,null,5370-169-272_GEN2 EUM-180-20MBFB 90V,
2024-01-19T00:00:00.000-08:00,623966,Burnish and Inspection,5371-170-048,null,Model Value Stream,600,11,null,null,null,null,"5371-170-048_EM-210/ERS-68, 90V,10 FT/LB",
2024-02-13T00:00:00.000-08:00,623757,Kitting,5370-273-323,null,Model Value Stream,600,116,null,null,null,null,5370-273-323_HD C/B UM180-1020 90V GEN2,
2024-02-22T00:00:00.000-08:00,623766,Kitting,5370-273-323,null,Model Value Stream,600,143,null,null,null,null,5370-273-323_HD C/B UM180-1020 90V GEN2,
2024-03-18T00:00:00.000-07:00,623751,Hub-Shaft-Armature Assembly,5370-273-323,null,Model Value Stream,600,5,null,null,null,null,5370-273-323_HD C/B UM180-1020 90V GEN2,
2024-04-14T00:00:00.000-07:00,623887,Housing Assembly,5370-273-204,null,Model Value Stream,600,478,null,null,null,null,5370-273-204_C/B UM-50-1020 90V GEN2,
2024-04-26T00:00:00.000-07:00,623761,Housing Assembly,5370-273-323,null,Model Value Stream,600,14,null,null,null,null,5370-273-323_HD C/B UM180-1020 90V GEN2,
2024-06-25T00:00:00.000-07:00,623762,Burnish and Inspection,5370-273-323,1.616602,Model Value Stream,600,697,97,TL step offline ,Punctuality/Attendance ,,5370-273-323_HD C/B UM180-1020 90V GEN2,
2024-07-12T00:00:00.000-07:00,623875,Pack Station,5370-273-235,null,Model Value Stream,720,354,null,null,null,null,5370-273-235-C-B UM-180-2030 90V AF GEN2,
2024-09-07T00:00:00.000-07:00,623727,Hub-Shaft-Armature Assembly,5370-169-259,null,Model Value Stream,720,3,null,null,null,null,5370-169-259-BK EM-180-20MBFB 90V GEN2,
2024-09-08T00:00:00.000-07:00,623728,Hub-Shaft-Armature Assembly,5370-169-262,null,Model Value Stream,360,52,null,null,null,null,5370-169-262_BK EUM-180-20FBB-LK 90 GEN2,
2024-09-13T00:00:00.000-07:00,623779,Hub-Shaft-Armature Assembly,5370-273-214,null,Model Value Stream,600,18,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2024-11-21T00:00:00.000-08:00,623774,Final Assembly,5370-273-214,null,Model Value Stream,600,180,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2024-11-23T00:00:00.000-08:00,623776,Final Assembly,5370-273-214,null,Model Value Stream,600,2,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2024-11-24T00:00:00.000-08:00,623777,Final Assembly,5370-273-214,null,Model Value Stream,600,39,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2025-01-05T00:00:00.000-08:00,623782,Burnish and Inspection,5370-273-214,null,Model Value Stream,600,390,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2025-01-29T00:00:00.000-08:00,623860,Burnish and Inspection,5370-273-214,null,Model Value Stream,600,399,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2025-03-09T00:00:00.000-08:00,623699,Kitting,5370-169-227,null,Model Value Stream,360,173,null,null,null,null,5370-169-227_BK EM100-20 90V SGLARM GEN2,
2025-03-15T00:00:00.000-07:00,623685,Kitting,5370-169-289,null,Model Value Stream,720,93,null,null,null,null,5370-169-289_BK EM-180-20FBB 90V GEN2,
2023-11-11T00:00:00.000-08:00,623944,Kitting,5370-273-214,null,Model Value Stream,600,95,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2023-11-12T00:00:00.000-08:00,623945,Kitting,5370-273-214,null,Model Value Stream,600,159,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2023-11-19T00:00:00.000-08:00,623952,Kitting,5370-273-214,null,Model Value Stream,600,118,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2023-12-03T00:00:00.000-08:00,623877,Hub-Shaft-Armature Assembly,5371-169-023,null,Model Value Stream,480,3,null,null,null,null,5371-169-023_BK EM-210-20 90V,
2023-12-14T00:00:00.000-08:00,623889,Housing Assembly,5370-273-248,null,Model Value Stream,600,331,null,null,null,null,5370-273-248_C/B UM-100-1020FBC 24V GEN2,
2023-12-31T00:00:00.000-08:00,623681,Final Assembly,5371-169-023,null,Model Value Stream,480,15,null,null,null,null,5371-169-023_BK EM-210-20 90V,
2024-02-02T00:00:00.000-08:00,623877,Pack Station,5371-169-023,null,Model Value Stream,480,97,null,null,null,null,5371-169-023_BK EM-210-20 90V,
2024-02-20T00:00:00.000-08:00,623764,Kitting,5370-273-323,null,Model Value Stream,600,null,null,null,null,null,5370-273-323_HD C/B UM180-1020 90V GEN2,
2024-03-26T00:00:00.000-07:00,623761,Hub-Shaft-Armature Assembly,5370-273-323,null,Model Value Stream,600,3,null,null,null,null,5370-273-323_HD C/B UM180-1020 90V GEN2,
